name;url;description;field
acs ambulance;https://www.alphacomputer.de/ambulant/;Egal ob für die Pflegedokumentation, Abrechnung oder Personal und Routenplanung – Sie entscheiden, an welchen Stellen unsere Software Ihre Arbeit erleichtern soll. So haben Sie und Ihre Mitarbeiter genügend Zeit für die Patienten.;prA/Dokumentation
Actilog;https://www.esag-systems.ch/wa_files/Actilog_20Basic.pdf;Actilog Basic ist eine Matte, die speziell für Patienten mit Einschränkungen von Koordination und/oder Orientierung entwickelt wurde. Beim Verlassen des Bettes wird der Alarm beim Pflegepersonal ausgelöst.;IA/Assistenzsystem
Actionbound;https://de.actionbound.com/;Spiele mit der Actionbound-App spannende, lustige und lehrreiche Smartphone- und Tablet-Rallyes. Wir nennen diese multimedialen Erlebnistouren „Bounds“.;wA/Kommunikation
Active Mobilisation System;https://www.compliant-concept.ch/produkte/spital/#produkt-active-mobilisation-system;Das Active Mobilisation System™ entlastet Ihre Pflege bei der körperlich aufwendigen Routinearbeit des Umpositionierens und trägt erheblich zur Qualitätssteigerung für Patienten und Pflege bei. ;IA/Assistenzsystem
AiDKlinik;https://www.dosing-gmbh.de/produktloesungen/aidklinik-2/;Healthcare Professionals (HCP) benötigen relevante Informationen und Warnungen in Bezug zum Patienten. Deswegen entfaltet AiDKlinik® sein volles Potential, wenn es in ein KIS bzw. PDMS integriert ist, so dass Patientendaten und ausgewählte Laborparameter an AiDKlinik® übermittelt werden.;wA/Assistenzsystem
AMiS Visitenwagen;https://www.alphatronmedical.de/amis-visitenwagen/;Unsere AMiS-Lösungen sorgen für einen besseren Arbeitsablauf im Gesundheitswesen. Die täglichen Aufgaben können mit Hilfe von klinischen All-in-One-Stationen, die vollständig mit der elektronischen Patientenakte verbunden werden können, optimiert werden. Dies spart der Pflegekraft viel Zeit, verbessert die Patientensicherheit und unterstützt ein geschlossenes Medikamentenmanagement.;prA/Dokumentation
ASSESSTRONIC;https://echord.eu/essential_grid/assesstronic/index.php.html;Nowadays Comprehensive Geriatric Assessment (CGA) exams are done under very limited and time-consuming protocols. The ASSESSTRONIC project aims at taking benefit of robotic technologies to make the execution of these tests easier, faster and more traceable and repeatable, and at providing added-value outputs in different, more objective and subtle dimensions.;wA/Robotik
AssistMe;https://www.assistme.io/;Die AssistMe App ist ständig mit dabei und versorgt Pflegekräfte jederzeit mit Informationen über den aktuellen Pflegebedarf der Bewohner.;prA/Assistenzsystem
AUGMEDIX;https://augmedix.com/;Clinician and patients interact naturally while Augmedix virtual healthcare data specialists observe the interaction remotely;IA/Dokumentation
BedEx;https://www.compliant-concept.ch/produkte/spital/#produkt-bedex;Kontinuierliches Monitoring trägt dazu bei, Stürze aus dem Bett um bis zu 90% zu reduzieren. BedEx™ erkennt mit seiner 360° Sensorik zuverlässig jeden Bettausstieg und informiert mit der Bettkantenwarnung Pflegekräfte frühzeitig, um präventives Handeln zu ermöglichen.;IA/Assistenzsystem
bembu;https://www.bembu.at/index.php/de/;Die bembu GPS-Watch kann bei Notfällen oder Stürzen schnell und intuitiv Hilfe verständigen. Die übermittelte GPS-Position gewährleistet schnellstmögliche Hilfe.;IA/Kommunikation
BibliomedCAMPUS;https://campus.bibliomed.de/;Bibliomed CAMPUS ist unsere Antwort auf den wachsenden Weiterbildungsbedarf in Krankenhäusern und Pflegeeinrichtungen. Hinter Bibliomed CAMPUS verbirgt sich die Idee, die Fachexpertise des Bibliomed-Verlages sowie seiner Partner in der Gesundheitsbranche zu bündeln und in ein modernes Fortbildungskonzept für Pflege- und Führungskräfte in Krankenhäusern sowie Pflegeeinrichtungen einfließen zu lassen.;wA/Kommunikation
bikelabyrinth;https://www.bikelabyrinth.com/de/;Das Bike Labyrinth ist ein System, mit dem Menschen interaktive Fahrradtouren durch Städte und Naturlandschaften im In- und Ausland machen können. Der Bildschirm, auf dem die Fahrradtouren gezeigt werden, ist an einen Hometrainer oder anderen Bewegungstrainer angeschlossen. Stellt der Fahrradfahrer das Fahren ein, hält auch die Fahrradtour auf dem Bildschirm an.;IA/Kommunikation
caera;https://caera.de/;caera ist der mobile Notrufassistent. Hilfe automatisch oder per Knopfdruck. Immer und überall! Der Assistent besteht aus einen Armband mit automatischer Sturzerkennung, einem Notrufprozess und einer App.;IA/Kommunikation
Caesar Hospital II;https://www.rofa-group.com/fts/schlepper/;Mit der FTS Serie Caesar Hospital II hat MLR einen kompakten Unterfahrschlepper für Krankenhäuser und Kliniken entwickelt, der deutlich kürzer und ein Drittel leichter ist als das Vorgängermodell.;prA/Robotik
Cairful;https://www.cairful.com/;Die Prozesssoftware von Cairful. Mit unseren Fachmodulen für Dokumentation, Abrechnung und Personalsteuerung steuern Sie Ihre Einrichtungen in allen Dimensionen.;prA/Dokumentation
MD Ambulant;https://www.medifoxdan.de/software-ambulante-pflege/;Sie suchen eine flexible Softwarelösung, die Sie bei Ihren Digitalisierungsvorhaben perfekt unterstützt und mit der Sie gleichzeitig mobil und ortsunabhängig arbeiten können? MD Ambulant bietet Ihnen all das – und noch viel mehr. Die modular gestaltete Software vereint sämtliche Funktionalitäten, die Sie für eine vollständig digitale Verwaltung Ihrer Pflegeeinrichtung benötigen. Dabei entscheiden Sie, welche Module Sie zu Beginn nutzen möchten – ergänzende Komponenten lassen sich jederzeit nahtlos in Ihr bestehendes System integrieren. ;prA/Dokumentation
carefit;https://carefit-coach.de/;Mit Carefit bringt man seine individuellen Schlafgewohnheiten und seinen Gesundheitszustand mit dem eigenen Schichtdienst wieder in die optimale Balance. Da Licht der Taktgeber für unsere Schlaf-Wach-Phasen ist, machen wir es zu unserem „Instrument“.;prA/Kommunikation
Care-O-bot;https://www.care-o-bot.de/de/care-o-bot-3.html;Als interaktiver Butler ist Care-O-bot 3 in der Lage, sich sicher unter Menschen zu bewegen, typische Haushaltsgegenstände zu erkennen, zu greifen und sich mit dem Menschen auszutauschen.;IA/Robotik
Careousel;https://www.telecaresystems.at/webshop/medikamentenspender-careousel-gsm;Careousel Advanced GSM von TeleCare stellt Ihnen mehrmals täglich zum richtigen Zeitpunkt das verordnete Medikament bereit. Dazu ertönt zweimal pro Minute ein unüberhörbares Signal und eine blinkende rote LED als visuelle Alarmierung. Erfolgt eine halbe Stunde lang keine Entnahme, wird das Medikament eingezogen, um eine Einnahme zum falschen Zeitpunkt zu verhindern.;prA/Assistenzsystem
CareSocial;https://www.caresocial.de/mobile-datenerfassung-pflege-smartphone-android-app.html;CareSocial ist keine Software von der Stange: unsere Pflege-Profis im Kundenservice helfen Ihnen gern bei Ihrer Abrechnung oder der Kommunikation mit den Leistungsträgern und Datenannahmestellen - ganz individuell, ganz nach Ihren Bedürfnissen. Durch CareSmart steht Ihnen zudem eine speziell auf die Bedürfnisse der ambulanten Pflege abgestimmte App für die effiziente mobile Datenerfassung ( mit Android-Smartphone oder auch iPhone ) zur Verfügung. ;prA/Dokumentation
CareTable;https://caretable.de/;Der CareTable ist der digitale Aktivitätstisch für die Pflege. Ein in einen regional gefertigten Tisch eingelassener großer Touchscreen bietet Spiele, Übungen, Medien und Aktivierungsangebote – speziell auf Senioren zugeschnitten.;IA/Kommunikation
CARU;https://www.caru-care.com/;Der CARU Notruf und der CARU Family Chat werden durch Sprache gesteuert und verbinden den älteren Menschen mit Vertrauenspersonen – im Alltag und im Notfall.;IA/Kommunikation
